chunk_id,n_cells,n_viol,worst_excess,worst_record
490,2000,0,0.000e+00,"None"
491,2000,0,0.000e+00,"None"
492,2000,0,0.000e+00,"None"
493,2000,0,0.000e+00,"None"
494,2000,0,0.000e+00,"None"
495,2000,0,0.000e+00,"None"
496,2000,0,0.000e+00,"None"
497,2000,0,0.000e+00,"None"
498,2000,0,0.000e+00,"None"
499,2000,0,0.000e+00,"None"
500,2000,0,0.000e+00,"None"
501,2000,0,0.000e+00,"None"
502,2000,0,0.000e+00,"None"
503,2000,0,0.000e+00,"None"
504,2000,0,0.000e+00,"None"
506,2000,0,0.000e+00,"None"
505,2000,0,0.000e+00,"None"
507,2000,0,0.000e+00,"None"
508,2000,0,0.000e+00,"None"
509,2000,0,0.000e+00,"None"
510,2000,0,0.000e+00,"None"
511,2000,0,0.000e+00,"None"
513,2000,0,0.000e+00,"None"
512,2000,0,0.000e+00,"None"
514,2000,0,0.000e+00,"None"
515,2000,0,0.000e+00,"None"
516,2000,0,0.000e+00,"None"
517,2000,0,0.000e+00,"None"
518,2000,0,0.000e+00,"None"
519,2000,0,0.000e+00,"None"
520,2000,0,0.000e+00,"None"
521,2000,0,0.000e+00,"None"
522,2000,0,0.000e+00,"None"
523,2000,0,0.000e+00,"None"
524,2000,0,0.000e+00,"None"
525,2000,0,0.000e+00,"None"
526,2000,0,0.000e+00,"None"
527,2000,0,0.000e+00,"None"
528,2000,0,0.000e+00,"None"
529,2000,0,0.000e+00,"None"
530,2000,0,0.000e+00,"None"
531,2000,0,0.000e+00,"None"
532,2000,0,0.000e+00,"None"
533,2000,0,0.000e+00,"None"
534,2000,0,0.000e+00,"None"
535,2000,0,0.000e+00,"None"
536,2000,0,0.000e+00,"None"
537,2000,0,0.000e+00,"None"
538,2000,0,0.000e+00,"None"
539,2000,0,0.000e+00,"None"
540,2000,0,0.000e+00,"None"
541,2000,0,0.000e+00,"None"
542,2000,0,0.000e+00,"None"
543,2000,0,0.000e+00,"None"
544,2000,0,0.000e+00,"None"
545,2000,0,0.000e+00,"None"
546,2000,0,0.000e+00,"None"
547,2000,0,0.000e+00,"None"
548,2000,0,0.000e+00,"None"
549,2000,0,0.000e+00,"None"
550,2000,0,0.000e+00,"None"
551,2000,0,0.000e+00,"None"
552,2000,0,0.000e+00,"None"
553,2000,0,0.000e+00,"None"
554,2000,0,0.000e+00,"None"
555,2000,0,0.000e+00,"None"
556,2000,0,0.000e+00,"None"
557,2000,0,0.000e+00,"None"
558,2000,0,0.000e+00,"None"
559,2000,0,0.000e+00,"None"
560,2000,0,0.000e+00,"None"
561,2000,0,0.000e+00,"None"
562,2000,0,0.000e+00,"None"
563,2000,0,0.000e+00,"None"
564,2000,0,0.000e+00,"None"
565,2000,0,0.000e+00,"None"
566,2000,0,0.000e+00,"None"
567,2000,0,0.000e+00,"None"
568,2000,0,0.000e+00,"None"
569,2000,0,0.000e+00,"None"
570,2000,0,0.000e+00,"None"
571,2000,0,0.000e+00,"None"
572,2000,0,0.000e+00,"None"
573,2000,0,0.000e+00,"None"
574,2000,0,0.000e+00,"None"
575,2000,0,0.000e+00,"None"
576,2000,0,0.000e+00,"None"
577,2000,0,0.000e+00,"None"
578,2000,0,0.000e+00,"None"
579,2000,0,0.000e+00,"None"
580,2000,0,0.000e+00,"None"
581,2000,0,0.000e+00,"None"
582,2000,0,0.000e+00,"None"
583,2000,0,0.000e+00,"None"
584,2000,0,0.000e+00,"None"
585,2000,0,0.000e+00,"None"
586,2000,0,0.000e+00,"None"
587,2000,0,0.000e+00,"None"
588,2000,0,0.000e+00,"None"
589,2000,0,0.000e+00,"None"
590,2000,0,0.000e+00,"None"
591,2000,0,0.000e+00,"None"
592,2000,0,0.000e+00,"None"
593,2000,0,0.000e+00,"None"
594,2000,0,0.000e+00,"None"
595,2000,0,0.000e+00,"None"
596,2000,0,0.000e+00,"None"
597,2000,0,0.000e+00,"None"
598,2000,0,0.000e+00,"None"
599,2000,0,0.000e+00,"None"
600,2000,0,0.000e+00,"None"
601,2000,0,0.000e+00,"None"
602,2000,0,0.000e+00,"None"
603,2000,0,0.000e+00,"None"
604,2000,0,0.000e+00,"None"
606,2000,0,0.000e+00,"None"
605,2000,0,0.000e+00,"None"
607,2000,0,0.000e+00,"None"
608,2000,0,0.000e+00,"None"
609,2000,0,0.000e+00,"None"
610,2000,0,0.000e+00,"None"
611,2000,0,0.000e+00,"None"
612,2000,0,0.000e+00,"None"
613,2000,0,0.000e+00,"None"
614,2000,0,0.000e+00,"None"
615,2000,0,0.000e+00,"None"
616,2000,0,0.000e+00,"None"
617,2000,0,0.000e+00,"None"
618,2000,0,0.000e+00,"None"
620,2000,0,0.000e+00,"None"
619,2000,0,0.000e+00,"None"
621,2000,0,0.000e+00,"None"
622,2000,0,0.000e+00,"None"
623,2000,0,0.000e+00,"None"
624,2000,0,0.000e+00,"None"
625,2000,0,0.000e+00,"None"
627,2000,0,0.000e+00,"None"
626,2000,0,0.000e+00,"None"
628,2000,0,0.000e+00,"None"
629,2000,0,0.000e+00,"None"
631,2000,0,0.000e+00,"None"
630,2000,0,0.000e+00,"None"
632,2000,0,0.000e+00,"None"
633,2000,0,0.000e+00,"None"
634,2000,0,0.000e+00,"None"
636,2000,0,0.000e+00,"None"
635,2000,0,0.000e+00,"None"
637,2000,0,0.000e+00,"None"
638,2000,0,0.000e+00,"None"
639,2000,0,0.000e+00,"None"
640,2000,0,0.000e+00,"None"
641,2000,0,0.000e+00,"None"
642,2000,0,0.000e+00,"None"
643,2000,0,0.000e+00,"None"
644,2000,0,0.000e+00,"None"
646,2000,0,0.000e+00,"None"
645,2000,0,0.000e+00,"None"
647,2000,0,0.000e+00,"None"
648,2000,0,0.000e+00,"None"
649,2000,0,0.000e+00,"None"
650,2000,0,0.000e+00,"None"
651,2000,0,0.000e+00,"None"
652,2000,0,0.000e+00,"None"
653,2000,0,0.000e+00,"None"
654,2000,0,0.000e+00,"None"
655,2000,0,0.000e+00,"None"
656,2000,0,0.000e+00,"None"
657,2000,0,0.000e+00,"None"
658,2000,0,0.000e+00,"None"
659,2000,0,0.000e+00,"None"
660,2000,0,0.000e+00,"None"
661,2000,0,0.000e+00,"None"
662,2000,0,0.000e+00,"None"
663,2000,0,0.000e+00,"None"
664,2000,0,0.000e+00,"None"
665,2000,0,0.000e+00,"None"
666,2000,0,0.000e+00,"None"
667,2000,0,0.000e+00,"None"
668,2000,0,0.000e+00,"None"
670,2000,0,0.000e+00,"None"
669,2000,0,0.000e+00,"None"
671,2000,0,0.000e+00,"None"
672,2000,0,0.000e+00,"None"
673,2000,0,0.000e+00,"None"
674,2000,0,0.000e+00,"None"
675,2000,0,0.000e+00,"None"
677,2000,0,0.000e+00,"None"
676,2000,0,0.000e+00,"None"
678,2000,0,0.000e+00,"None"
679,2000,0,0.000e+00,"None"
680,2000,0,0.000e+00,"None"
681,2000,0,0.000e+00,"None"
682,2000,0,0.000e+00,"None"
683,2000,0,0.000e+00,"None"
684,2000,0,0.000e+00,"None"
685,2000,0,0.000e+00,"None"
686,2000,0,0.000e+00,"None"
687,2000,0,0.000e+00,"None"
688,2000,0,0.000e+00,"None"
689,2000,0,0.000e+00,"None"
691,2000,0,0.000e+00,"None"
690,2000,0,0.000e+00,"None"
692,2000,0,0.000e+00,"None"
693,2000,0,0.000e+00,"None"
694,2000,0,0.000e+00,"None"
695,2000,0,0.000e+00,"None"
696,2000,0,0.000e+00,"None"
697,2000,0,0.000e+00,"None"
698,2000,0,0.000e+00,"None"
699,2000,0,0.000e+00,"None"
700,2000,0,0.000e+00,"None"
701,2000,0,0.000e+00,"None"
702,2000,0,0.000e+00,"None"
703,2000,0,0.000e+00,"None"
704,2000,0,0.000e+00,"None"
705,2000,0,0.000e+00,"None"
706,2000,0,0.000e+00,"None"
707,2000,0,0.000e+00,"None"
708,2000,0,0.000e+00,"None"
709,2000,0,0.000e+00,"None"
711,2000,0,0.000e+00,"None"
710,2000,0,0.000e+00,"None"
712,2000,0,0.000e+00,"None"
713,2000,0,0.000e+00,"None"
714,2000,0,0.000e+00,"None"
715,2000,0,0.000e+00,"None"
716,2000,0,0.000e+00,"None"
718,2000,0,0.000e+00,"None"
717,2000,0,0.000e+00,"None"
719,2000,0,0.000e+00,"None"
720,2000,0,0.000e+00,"None"
721,2000,0,0.000e+00,"None"
722,2000,0,0.000e+00,"None"
723,2000,0,0.000e+00,"None"
724,2000,0,0.000e+00,"None"
725,2000,0,0.000e+00,"None"
726,2000,0,0.000e+00,"None"
727,2000,0,0.000e+00,"None"
728,2000,0,0.000e+00,"None"
729,2000,0,0.000e+00,"None"
730,2000,0,0.000e+00,"None"
731,2000,0,0.000e+00,"None"
732,2000,0,0.000e+00,"None"
733,2000,0,0.000e+00,"None"
734,2000,0,0.000e+00,"None"
735,2000,0,0.000e+00,"None"
736,2000,0,0.000e+00,"None"
737,2000,0,0.000e+00,"None"
739,2000,0,0.000e+00,"None"
738,2000,0,0.000e+00,"None"
740,2000,0,0.000e+00,"None"
741,2000,0,0.000e+00,"None"
742,2000,0,0.000e+00,"None"
743,2000,0,0.000e+00,"None"
744,2000,0,0.000e+00,"None"
746,2000,0,0.000e+00,"None"
745,2000,0,0.000e+00,"None"
747,2000,0,0.000e+00,"None"
748,2000,0,0.000e+00,"None"
749,2000,0,0.000e+00,"None"
750,2000,0,0.000e+00,"None"
751,2000,0,0.000e+00,"None"
753,2000,0,0.000e+00,"None"
752,2000,0,0.000e+00,"None"
754,2000,0,0.000e+00,"None"
755,2000,0,0.000e+00,"None"
756,2000,0,0.000e+00,"None"
757,2000,0,0.000e+00,"None"
758,2000,0,0.000e+00,"None"
760,2000,0,0.000e+00,"None"
759,2000,0,0.000e+00,"None"
761,2000,0,0.000e+00,"None"
762,2000,0,0.000e+00,"None"
763,2000,0,0.000e+00,"None"
764,2000,0,0.000e+00,"None"
765,2000,0,0.000e+00,"None"
766,2000,0,0.000e+00,"None"
767,2000,0,0.000e+00,"None"
768,2000,0,0.000e+00,"None"
769,2000,0,0.000e+00,"None"
770,2000,0,0.000e+00,"None"
